Index,Name,Year,Location,Citation,ACM Fellow Profile,Google Scholar Profile,Affiliation,Interests
198,Ravi Kumar,2020,USA,"For contributions to web science modeling, analytics, and algorithms",https://awards.acm.org/award-recipients/kumar_2505048,https://scholar.google.com/citations?user=J_XhIsgAAAAJ,Google,Algorithms for massive data ML/privacy Theory of computation.
199,Remzi Arpaci-Dusseau ,2020,USA,For contributions to storage and computer systems,https://awards.acm.org/award-recipients/arpaci-dusseau_4247391,https://scholar.google.com/citations?user=C1skWKgAAAAJ,University of Wisconsin-Madison,Operating Systems
200,Rick Stevens,2020,USA,"For contributions in high-performance computing systems, collaborative environments, and tools for large-scale science initiatives",https://awards.acm.org/award-recipients/stevens_4742631,https://scholar.google.com/citations?user=2oSSsLYAAAAJ,"Professor of Computer Science, University of Chicago",HPC Bioinformatics Distributed Computing Visualization Collaboration
201,Sam H. Noh,2020,Republic of Korea,"For contributions to storage system software, including flash and byte-addressable non-volatile memory",https://awards.acm.org/award-recipients/noh_4617189,https://scholar.google.com/citations?user=i5lr8uEAAAAJ,"Professor of Computer Science, Virginia Tech",Systems Software Operating Systems File Systems Storage Systems
202,Samuel Madden,2020,USA,For contributions to data management and sensor computing systems,https://awards.acm.org/award-recipients/madden_2510659,https://scholar.google.com/citations?user=a1ngrCIAAAAJ,MIT,Computer Systems Database Systems Data Management Mobile Computing Distributed Systems
203,Sanjay Ghemawat,2020,USA,For contributions to distributed systems design,https://awards.acm.org/award-recipients/ghemawat_1482280,https://scholar.google.com/citations?user=0KF6ZC8AAAAJ,Google,Distributed systems Profiling tools Memory management Storage systems
204,Sanjit Arunkumar Seshia ,2020,USA,"For contributions to formal verification, inductive synthesis, and cyber-physical systems",https://awards.acm.org/award-recipients/seshia_UJ14341,,,[]
205,Scott Mahlke ,2020,USA,"For contributions in compiler code generation for instruction level parallelism, and customized microprocessor architectures",https://awards.acm.org/award-recipients/mahlke_4550588,https://scholar.google.com/citations?user=-XpZ4fgAAAAJ,"Professor, Electrical Engineering and Computer Science Dept., University of Michigan",Computer Architecture Compilers
206,Sethuraman Panchanathan,2020,USA,"For contributions to multimedia technologies and leadership in the scientific community
",https://awards.acm.org/award-recipients/panchanathan_4753208,https://scholar.google.com/citations?user=GKTKZ8kAAAAJ,"Professor of Computer Science and Engineering, Arizona State University",Multimedia image compression haptic interfaces assistive technologies compressed domain indexing
207,Shuicheng Yan,2020,Singapore,For contributions to visual content understanding techniques and applications,https://awards.acm.org/award-recipients/yan_2615226,https://scholar.google.com/citations?user=DNuiPHwAAAAJ,"BAAI (non-profit), previously Sea AI Lab",Multimedia Computer Vision Machine Learning Fashion Recommendation
208,Srinivas Aluru ,2020,USA,For contributions to parallel methods in computational biology and leadership in data science,https://awards.acm.org/award-recipients/aluru_4009189,https://scholar.google.com/citations?user=YOGOScoAAAAJ,"Professor and Executive Director of Institute for Data Engineering and Science, Georgia …",Data Science High performance Computing Computational Biology Combinatorial Scientific Computing
209,Steven Gribble,2020,USA,"For contributions to virtualization technology across clusters, servers, and networks",https://awards.acm.org/award-recipients/gribble_5105697,https://scholar.google.com/citations?user=7CohtIMAAAAJ,Distinguished software engineer at google,Networking Operating Systems Distributed Systems Systems Security
210,Steven H. Low,2020,USA,For theoretical foundations and real-world deployment of Internet congestion control and smart grid optimization,https://awards.acm.org/award-recipients/low_1122456,https://scholar.google.com/citations?user=4BrebIYAAAAJ,"Gilloon Professor of Computing+Mathematical Sciences, Electrical Engineering, Caltech",computer networks networking power systems smart grid control
211,Steven Salzberg,2020,USA,"For contributions to computational biology, including software for DNA sequence analysis, alignment, and genome assembly",https://awards.acm.org/award-recipients/salzberg_3469343,https://scholar.google.com/citations?user=sUVeH-4AAAAJ,"Bloomberg Distinguished Professor, Johns Hopkins University",Computational Biology Genomics Genome assembly Bioinformatics Metagenomics
212,Susanne E Hambrusch,2020,USA,For research and leadership contributions to computer science education,https://awards.acm.org/award-recipients/hambrusch_1930809,,,[]
213,Sven Koenig ,2020,USA,"For contributions to artificial intelligence, including heuristic search and multi-agent coordination",https://awards.acm.org/award-recipients/koenig_3810207,https://scholar.google.com/citations?user=tpoh43QAAAAJ,"Dean's Professor of Computer Science, University of Southern California",Heuristic Search Automated Planning Autonomous Systems Intelligent Agents Artificial Intelligence
214,Thomas Eiter,2020,Austria,"For contributions to knowledge representation and reasoning, logic programming, and declarative problem solving",https://awards.acm.org/award-recipients/eiter_5151170,https://scholar.google.com/citations?user=X1L03cIAAAAJ,Vienna University of Technology (TU Wien),knowledge representation and reasoning declarative problem solving artificial intelligence computational logic
215,Toby Walsh,2020,Australia,For contributions to artificial intelligence,https://awards.acm.org/award-recipients/walsh_1141540,https://scholar.google.com/citations?user=oOQ6x0IAAAAJ,"Professor, UNSW and CSIRO Data61",AI Constraints Satisfiability Optimisation Computational Social Choice
216,Volker Markl,2020,Germany,"For contributions to query optimization, scalable data processing, and data programmability",https://awards.acm.org/award-recipients/markl_UK78103,https://scholar.google.com/citations?user=el2k_oIAAAAJ,Technische Universität Berlin,Database Systems Large-scale Data Management Big Data Programming Models Query Processing
217,Wang Yi,2020,Sweden,For contributions to the automated analysis and verification of real-time systems,https://awards.acm.org/award-recipients/yi_8982226,https://scholar.google.com/citations?user=Uv7TfEgAAAAJ,,
