name,affiliation,homepage,scholarid,orcid,dblp_profile
Kenneth D. Forbus,Northwestern University,http://www.cs.northwestern.edu/~forbus,IdRYT-8AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/f/Forbus:Kenneth_D%3D
Kenneth R. Koedinger,Carnegie Mellon University,http://pact.cs.cmu.edu/koedinger.html,_8DDVkAAAAAJ,0000-0002-5850-4768,https://dblp.org/pers/hd/k/Koedinger:Kenneth_R%3D
Kevin Fu,Northeastern University,https://web.eecs.umich.edu/~kevinfu,pZQuSyUAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/f/Fu:Kevin
Kevin Leyton-Brown,University of British Columbia,http://www.cs.ubc.ca/~kevinlb,_4dnp0IAAAAJ,0000-0002-7644-5327,https://dblp.org/pers/hd/l/Leyton=Brown:Kevin
Kevin Skadron,University of Virginia,http://www.cs.virginia.edu/skadron,Q-As1CEAAAAJ,0000-0002-8091-9302,https://dblp.org/pers/hd/s/Skadron:Kevin
Kian-Lee Tan,National University of Singapore,https://www.comp.nus.edu.sg/~tankl,NOSCHOLARPAGE,0000-0001-9315-4057,https://dblp.org/pers/hd/t/Tan:Kian%3DLee
Kilian Q. Weinberger,Cornell University,http://www.cs.cornell.edu/~kilian,jsxk8vsAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/w/Weinberger:Kilian_Q%3D
Klara Nahrstedt,Univ. of Illinois at Urbana-Champaign,https://cs.illinois.edu/directory/profile/klara,CUO0vDcAAAAJ,0000-0001-6813-3043,https://dblp.org/pers/hd/n/Nahrstedt:Klara
Krishna V. Palem,Rice University,http://www.cs.rice.edu/~kvp1,TW6dnZUAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/p/Palem:Krishna_V%3D
Krishnendu Chakrabarty,Arizona State University,https://search.asu.edu/profile/4669916,R_VPUyEAAAAJ,0000-0003-4475-6435,https://dblp.org/pers/hd/c/Chakrabarty:Krishnendu
Krithi Ramamritham,IIT Bombay,http://cuse.iitb.ac.in/people/faculty/krithi-ramamritham,LFLG5pcAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Ramamritham:Krithi
Kui Ren 0001,Zhejiang University,https://person.zju.edu.cn/kuiren,uuQA_rcAAAAJ,0000-0003-3441-6277,https://dblp.org/pers/hd/r/Ren_0001:Kui
Kun Zhou 0001,Zhejiang University,http://mypage.zju.edu.cn/kunzhou,N-iYby0AAAAJ,0000-0003-4243-6112,https://dblp.org/pers/hd/z/Zhou_0001:Kun
Kunle Olukotun,Stanford University,http://arsenalfc.stanford.edu/kunle,IzXDyR8AAAAJ,0000-0002-8779-0636,https://dblp.org/pers/hd/o/Olukotun:Kunle
Kurt Mehlhorn [INF],Max Planck Society,https://www.mpi-inf.mpg.de/~mehlhorn,28CWXPUAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/m/Mehlhorn:Kurt
Kwan-Liu Ma,Univ. of California - Davis,http://www.cs.ucdavis.edu/~ma,LgL2HpkAAAAJ,0000-0001-8086-0366,https://dblp.org/pers/hd/m/Ma:Kwan%3DLiu
Kwang-Ting Cheng,HKUST,http://www.ust.hk/about-hkust/senior-adm/dean-of-engineering,NOSCHOLARPAGE,0000-0002-3885-4912,https://dblp.org/pers/hd/c/Cheng:Kwang%3DTing
Kyu-Young Whang,KAIST,http://dblab.kaist.ac.kr/Prof/main_eng.html,LZSo1YEAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/w/Whang:Kyu%3DYoung
Kyuseok Shim,Seoul National University,http://kdd.snu.ac.kr/~shim,3Y254i4AAAAJ,0000-0001-8818-0963,https://dblp.org/pers/hd/s/Shim:Kyuseok
Lance Fortnow,Illinois Institute of Technology,http://www.cc.gatech.edu/people/lance-fortnow,Yf5wVssAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/f/Fortnow:Lance
Larry L. Peterson,University of Arizona,https://www.cs.arizona.edu/~llp,hmq4rGIAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/p/Peterson:Larry_L%3D
Lars Birkedal,Aarhus University,http://cs.au.dk/~birke,1rW-bi0AAAAJ,0000-0003-1320-0098,https://dblp.org/pers/hd/b/Birkedal:Lars
Laura M. Haas,Univ. of Massachusetts Amherst,https://www.cics.umass.edu/about/directory/laura-haas,e9qUUSgAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Haas:Laura_M%3D
Laurie A. Williams,North Carolina State University,http://collaboration.csc.ncsu.edu/laurie,Cln2viUAAAAJ,0000-0003-3300-6540,https://dblp.org/pers/hd/w/Williams:Laurie_A%3D
Leandros Tassiulas,Yale University,http://seas.yale.edu/faculty-research/faculty-directory/leandros-tassiulas,9qtgcZ8AAAAJ,0000-0003-0932-774X,https://dblp.org/pers/hd/t/Tassiulas:Leandros
Lei Chen 0002,HKUST,https://www.cse.ust.hk/~leichen,gtglwgYAAAAJ,0000-0002-8257-5806,https://dblp.org/pers/hd/c/Chen_0002:Lei
Leonard M. Adleman,University of Southern California,https://www.usc.edu/dept/molecular-science/fm-adleman.htm,NOSCHOLARPAGE,0000-0000-0000-0000,https://dblp.org/pers/hd/a/Adleman:Leonard_M%3D
Leonid Libkin,University of Edinburgh,http://homepages.inf.ed.ac.uk/libkin,4q-MIB0AAAAJ,0000-0002-6698-2735,https://dblp.org/pers/hd/l/Libkin:Leonid
Leonidas J. Guibas,Stanford University,https://profiles.stanford.edu/leonidas-guibas,5JlEyTAAAAAJ,0000-0002-8315-4886,https://dblp.org/pers/hd/g/Guibas:Leonidas_J%3D
Leslie G. Valiant,Harvard University,http://people.seas.harvard.edu/~valiant,H509xdsAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/v/Valiant:Leslie_G%3D
Li Xiong 0001,Emory University,https://cs.emory.edu/~lxiong,jJ8BLgsAAAAJ,0000-0001-7354-0428,https://dblp.org/pers/hd/x/Xiong_0001:Li
Lili Qiu,University of Texas at Austin,https://www.cs.utexas.edu/~lili,16posrQAAAAJ,0009-0003-8131-7439,https://dblp.org/pers/hd/q/Qiu:Lili
Lillian Lee,Cornell University,http://www.cs.cornell.edu/home/llee,oJESe-cAAAAJ,0000-0003-4770-1712,https://dblp.org/pers/hd/l/Lee:Lillian
Limsoon Wong,National University of Singapore,https://www.comp.nus.edu.sg/~wongls,Inqu8SkAAAAJ,0000-0003-1241-5441,https://dblp.org/pers/hd/w/Wong:Limsoon
Lin Zhong 0001,Yale University,https://cpsc.yale.edu/people/lin-zhong,hJPN-G8AAAAJ,0000-0003-0840-167X,https://dblp.org/pers/hd/z/Zhong_0001:Lin
Linda Jean Camp,UNC - Charlotte,https://cci.charlotte.edu/people/linda-j-camp,wJPGa2IAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/c/Camp:Linda_Jean
Linda R. Petzold,Univ. of California - Santa Barbara,https://cse.cs.ucsb.edu,6IxWYR0AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/p/Petzold:Linda_R%3D
Lise Getoor,Univ. of California - Santa Cruz,https://www.soe.ucsc.edu/people/getoor,Y8-xGncAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/g/Getoor:Lise
Lixia Zhang 0001,Univ. of California - Los Angeles,http://www.cs.ucla.edu/~lixia,CZyWk8kAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/z/Zhang_0001:Lixia
Lixin Gao 0001,Univ. of Massachusetts Amherst,https://www.umass.edu/engineering/about/directory/lixin-gao,bOKmjf8AAAAJ,0000-0002-9017-5132,https://dblp.org/pers/hd/g/Gao_0001:Lixin
Lorenzo Alvisi,Cornell University,https://www.cs.utexas.edu/~lorenzo,K_-KJi8AAAAJ,0000-0002-9857-5528,https://dblp.org/pers/hd/a/Alvisi:Lorenzo
Lorrie Faith Cranor,Carnegie Mellon University,http://lorrie.cranor.org,kIUqgbcAAAAJ,0000-0003-2125-0124,https://dblp.org/pers/hd/c/Cranor:Lorrie_Faith
Louiqa Raschid,Univ. of Maryland - College Park,https://www.cs.umd.edu/people/lraschid,MD8nInYAAAAJ,0000-0002-0630-6049,https://dblp.org/pers/hd/r/Raschid:Louiqa
Luca Benini,ETH Zurich,https://www.ee.ethz.ch/the-department/people-a-z/person-detail.html?persid=194234,8riq3sYAAAAJ,0000-0001-8068-3806,https://dblp.org/pers/hd/b/Benini:Luca
Luca Cardelli,University of Oxford,https://www.cs.ox.ac.uk/people/luca.cardelli,npBTgSsAAAAJ,0000-0002-8705-8488,https://dblp.org/pers/hd/c/Cardelli:Luca
Luca de Alfaro,Univ. of California - Santa Cruz,https://users.soe.ucsc.edu/~luca,gkACFVcAAAAJ,0000-0003-3856-4576,https://dblp.org/pers/hd/a/Alfaro:Luca_de
Luca P. Carloni,Columbia University,http://www.cs.columbia.edu/~luca,sEAoh3MAAAAJ,0000-0001-5600-8931,https://dblp.org/pers/hd/c/Carloni:Luca_P%3D
Luca Trevisan 0001,Bocconi University,https://lucatrevisan.github.io,4yuKD_AAAAAJ,0000-0002-6982-8530,https://dblp.org/pers/hd/t/Trevisan_0001:Luca
Lui Sha,Univ. of Illinois at Urbana-Champaign,https://cs.illinois.edu/directory/profile/lrs,SlXqNooAAAAJ,0000-0002-5578-0791,https://dblp.org/pers/hd/s/Sha:Lui
Luis Ceze,University of Washington,https://www.cs.washington.edu/people/faculty/luisceze,KzESVKwAAAAJ,0000-0002-1377-6217,https://dblp.org/pers/hd/c/Ceze:Luis
Lujo Bauer,Carnegie Mellon University,http://www.ece.cmu.edu/~lbauer,5cJzDZEAAAAJ,0000-0002-8209-6792,https://dblp.org/pers/hd/b/Bauer:Lujo
Lydia E. Kavraki,Rice University,http://www.cs.rice.edu/~kavraki,Q6pxNZYAAAAJ,0000-0003-0699-8038,https://dblp.org/pers/hd/k/Kavraki:Lydia_E%3D
M. Frans Kaashoek,Massachusetts Inst. of Technology,https://pdos.csail.mit.edu/archive/kaashoek,NOSCHOLARPAGE,0000-0001-7098-586X,https://dblp.org/pers/hd/k/Kaashoek:M%3D_Frans
M. Tamer Özsu,University of Waterloo,https://cs.uwaterloo.ca/~tozsu,dwxm_CoAAAAJ,0000-0002-8126-1717,https://dblp.org/pers/hd/=/=Ouml=zsu:M%3D_Tamer
Maarten de Rijke,University of Amsterdam,https://staff.fnwi.uva.nl/m.derijke,AVDkgFIAAAAJ,0000-0002-1086-0202,https://dblp.org/pers/hd/r/Rijke:Maarten_de
Madhav Marathe,University of Virginia,https://engineering.virginia.edu/faculty/madhav-marathe,cLjMQqsAAAAJ,0000-0003-1653-0658,https://dblp.org/pers/hd/m/Marathe:Madhav
Madhu Sudan 0001,Harvard University,http://madhu.seas.harvard.edu,D-RwB3YAAAAJ,0000-0003-3718-6489,https://dblp.org/pers/hd/s/Sudan_0001:Madhu
Magdalena Balazinska,University of Washington,http://www.cs.washington.edu/people/faculty/magda,DDxFvcIAAAAJ,0000-0002-6805-0325,https://dblp.org/pers/hd/b/Balazinska:Magdalena
Mahadev Satyanarayanan,Carnegie Mellon University,https://www.cs.cmu.edu/~satya,0y6JDD4AAAAJ,0000-0002-2187-2049,https://dblp.org/pers/hd/s/Satyanarayanan:Mahadev
Maja Mataric,University of Southern California,http://robotics.usc.edu/~maja,o5YQMkMAAAAJ,0000-0001-8958-6666,https://dblp.org/pers/hd/m/Mataric:Maja
Maneesh Agrawala,Stanford University,http://graphics.stanford.edu/~maneesh,YPzKczYAAAAJ,0000-0002-8996-7327,https://dblp.org/pers/hd/a/Agrawala:Maneesh
Mani B. Srivastava,Univ. of California - Los Angeles,http://www.ee.ucla.edu/mani-srivastava,X2Qs7XYAAAAJ,0000-0002-3782-9192,https://dblp.org/pers/hd/s/Srivastava:Mani_B%3D
Manish Parashar,University of Utah,https://www.sci.utah.edu/people/parashar.html,SCM35lMAAAAJ,0000-0003-0983-7408,https://dblp.org/pers/hd/p/Parashar:Manish
Manuel Blum 0001,Carnegie Mellon University,https://www.cs.cmu.edu/~mblum,7S-LSKoAAAAJ,0000-0002-0982-4845,https://dblp.org/pers/hd/b/Blum_0001:Manuel
Manuel V. Hermenegildo,IMDEA Software Institute,http://software.imdea.org/people/manuel.hermenegildo,VXQGJD0AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Hermenegildo:Manuel_V%3D
Marc Alexa,TU Berlin,https://www.cg.tu-berlin.de/team/prof-dr-marc-alexa,KNwXLLsAAAAJ,0000-0002-9854-8466,https://dblp.org/pers/hd/a/Alexa:Marc
Marcelo Arenas,UC Chile,http://marceloarenas.cl,YHR0wkkAAAAJ,0000-0003-3678-1868,https://dblp.org/pers/hd/a/Arenas:Marcelo
Marco Dorigo,Université libre de Bruxelles,https://iridia.ulb.ac.be/~mdorigo/HomePageDorigo,PwYT6EMAAAAJ,0000-0002-3971-0507,https://dblp.org/pers/hd/d/Dorigo:Marco
Margaret Burnett,Oregon State University,http://eecs.oregonstate.edu/~burnett,Vc58tYYAAAAJ,0000-0001-6536-7629,https://dblp.org/pers/hd/b/Burnett:Margaret
Margaret Martonosi,Princeton University,http://www.princeton.edu/~mrm,tgYsFS0AAAAJ,0000-0001-9683-8032,https://dblp.org/pers/hd/m/Martonosi:Margaret
Margo I. Seltzer,University of British Columbia,https://www.seltzer.com/margo,XeyiyUYAAAAJ,0000-0002-2165-4658,https://dblp.org/pers/hd/s/Seltzer:Margo_I%3D
Maria L. Gini,University of Minnesota,http://umn.edu/home/gini,2ewb-10AAAAJ,0000-0001-8841-1055,https://dblp.org/pers/hd/g/Gini:Maria_L%3D
Maria-Florina Balcan,Carnegie Mellon University,https://www.cs.cmu.edu/~ninamf,LWlN_BUAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/b/Balcan:Maria%3DFlorina
Mark A. Horowitz,Stanford University,http://stanford.edu/~horowitz,e7V7-gEAAAAJ,0000-0003-1318-2029,https://dblp.org/pers/hd/h/Horowitz:Mark_A%3D
Mark Braverman,Princeton University,https://mbraverm.princeton.edu,5elBSHQAAAAJ,0000-0003-1276-6081,https://dblp.org/pers/hd/b/Braverman:Mark
Mark Crovella,Boston University,http://www.cs.bu.edu/fac/crovella,vrHhOlUAAAAJ,0000-0002-5005-7019,https://dblp.org/pers/hd/c/Crovella:Mark
Mark Guzdial,University of Michigan,http://www.cc.gatech.edu/home/guzdial,iQV2L2IAAAAJ,0000-0003-4427-9763,https://dblp.org/pers/hd/g/Guzdial:Mark
Markus Gross 0001,ETH Zurich,https://graphics.ethz.ch/~grossm,uxk0GmUAAAAJ,0009-0003-9324-779X,https://dblp.org/pers/hd/g/Gross_0001:Markus
Marsha Chechik,University of Toronto,http://www.cs.toronto.edu/~chechik,CYfxRVIAAAAJ,0000-0002-6301-3517,https://dblp.org/pers/hd/c/Chechik:Marsha
Marta Kwiatkowska,University of Oxford,http://www.cs.ox.ac.uk/marta.kwiatkowska,ArcH6PkAAAAJ,0000-0001-9022-7599,https://dblp.org/pers/hd/k/Kwiatkowska:Marta
Martha E. Pollack,Cornell University,https://infosci.cornell.edu/content/pollack,5oU0wxcAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/p/Pollack:Martha_E%3D
Marti Hearst,Univ. of California - Berkeley,http://people.ischool.berkeley.edu/~hearst,Yy6xbCYAAAAJ,0000-0002-4346-1603,https://dblp.org/pers/hd/h/Hearst:Marti
Martin C. Rinard,Massachusetts Inst. of Technology,http://people.csail.mit.edu/rinard,hxlxVEUAAAAJ,0000-0001-8095-8523,https://dblp.org/pers/hd/r/Rinard:Martin_C%3D
Martin D. F. Wong,Hong Kong Baptist University,https://www.hkbu.edu.hk/en/about/university-officers/professor-martin-wong.html,WPhoQiUAAAAJ,0000-0001-8274-9688,https://dblp.org/pers/hd/w/Wong:Martin_D%3D_F%3D
Martin Farach-Colton,New York University,https://engineering.nyu.edu/faculty/martin-farach-colton,2uHUSa8AAAAJ,0000-0003-3616-7788,https://dblp.org/pers/hd/f/Farach=Colton:Martin
Martin Grohe,RWTH Aachen University,https://www.lics.rwth-aachen.de/cms/LICS/Der-Lehrstuhl/Team/Dozierende/~ocwf/Martin-Grohe,Sou5ih0AAAAJ,0000-0002-0292-9142,https://dblp.org/pers/hd/g/Grohe:Martin
Martin L. Kersten,CWI,http://homepages.cwi.nl/~mk,Kr6jppsAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/k/Kersten:Martin_L%3D
Martin Odersky,EPFL,http://lampwww.epfl.ch/~odersky,LbRD9tEAAAAJ,0009-0005-3923-8993,https://dblp.org/pers/hd/o/Odersky:Martin
Martin Vetterli,EPFL,http://lcav.epfl.ch/martin.vetterli,YQcU3NYAAAAJ,0000-0002-6122-1216,https://dblp.org/pers/hd/v/Vetterli:Martin
Mary Lou Soffa,University of Virginia,http://www.cs.virginia.edu/~soffa/index.html%3Fp=6.html,KWiJaj8AAAAJ,0000-0002-3665-7763,https://dblp.org/pers/hd/s/Soffa:Mary_Lou
Mary Shaw,Carnegie Mellon University,http://www.cs.cmu.edu/~shaw,CTXoO1AAAAAJ,0000-0003-1337-4557,https://dblp.org/pers/hd/s/Shaw:Mary
Masaru Kitsuregawa,University of Tokyo,http://www.tkl.iis.u-tokyo.ac.jp/FIRST/members/kitsuregawa.en.html,NOSCHOLARPAGE,0000-0000-0000-0000,https://dblp.org/pers/hd/k/Kitsuregawa:Masaru
Mateo Valero,Polytechnic Univ. of Catalonia,https://www.bsc.es/mateo-valero,MyT3cHQAAAAJ,0000-0003-2917-2482,https://dblp.org/pers/hd/v/Valero:Mateo
Matthew A. Turk,TTI Chicago,https://home.ttic.edu/~mturk,KltleWgAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/t/Turk:Matthew_A%3D
Matthew B. Dwyer,University of Virginia,http://matthewbdwyer.github.io,-ZRKCcEAAAAJ,0000-0002-1937-1544,https://dblp.org/pers/hd/d/Dwyer:Matthew_B%3D
Matthew T. Mason,Carnegie Mellon University,http://www.cs.cmu.edu/~mason,D_JpQnAAAAAJ,0000-0002-2672-5689,https://dblp.org/pers/hd/m/Mason:Matthew_T%3D
Matthias Felleisen,Northeastern University,http://www.ccs.neu.edu/home/matthias,KP-Vo44AAAAJ,0000-0001-6678-1004,https://dblp.org/pers/hd/f/Felleisen:Matthias
Matthias Jarke,RWTH Aachen University,https://dbis.rwth-aachen.de/dbis/index.php/user/jarke,JbioEFgAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/j/Jarke:Matthias
Maurice Herlihy,Brown University,http://cs.brown.edu/~mph,Ezrt3pkAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/h/Herlihy:Maurice
Maurizio Lenzerini,Sapienza University of Rome,http://www.diag.uniroma1.it/lenzerini,EYxaICEAAAAJ,0000-0003-2875-6187,https://dblp.org/pers/hd/l/Lenzerini:Maurizio
Mendel Rosenblum,Stanford University,http://web.stanford.edu/~mendel,NOSCHOLARPAGE,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Rosenblum:Mendel
Michael Backes 0001,CISPA Helmholtz Center,https://cispa.de/en/people/backes,ZVS3KOEAAAAJ,0000-0002-7130-9211,https://dblp.org/pers/hd/b/Backes_0001:Michael
Michael D. Bailey,Georgia Institute of Technology,https://faculty.cc.gatech.edu/~mbailey,sMnocAYAAAAJ,0000-0002-0250-9164,https://dblp.org/pers/hd/b/Bailey:Michael_D%3D
Michael D. Ernst,University of Washington,https://homes.cs.washington.edu/~mernst,oQ6AeyEAAAAJ,0000-0001-9379-277X,https://dblp.org/pers/hd/e/Ernst:Michael_D%3D
Michael E. Saks,Rutgers University,https://sites.math.rutgers.edu/~saks,mu2I688AAAAJ,0000-0003-1659-7190,https://dblp.org/pers/hd/s/Saks:Michael_E%3D
Michael Franz,Univ. of California - Irvine,http://www.michaelfranz.com,NOSCHOLARPAGE,0000-0001-5911-2275,https://dblp.org/pers/hd/f/Franz:Michael
Michael Gleicher,University of Wisconsin - Madison,http://pages.cs.wisc.edu/~gleicher,kDkH9UkAAAAJ,0000-0003-3295-4071,https://dblp.org/pers/hd/g/Gleicher:Michael
Michael Hicks 0001,University of Pennsylvania,https://mhicks.me,Gggzp7UAAAAJ,0000-0002-2759-9223,https://dblp.org/pers/hd/h/Hicks_0001:Michael
Michael I. Jordan,INRIA,http://www.cs.berkeley.edu/~jordan,yxUduqMAAAAJ,0000-0001-8935-817X,https://dblp.org/pers/hd/j/Jordan:Michael_I%3D
Michael J. Carey 0001,Univ. of California - Irvine,http://www.ics.uci.edu/~mjcarey,B8tFrksAAAAJ,0000-0003-1561-4059,https://dblp.org/pers/hd/c/Carey_0001:Michael_J%3D
Michael J. Fischer,Yale University,http://www.cs.yale.edu/~fischer,mnq4vRgAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/f/Fischer:Michael_J%3D
Michael J. Franklin,University of Chicago,https://cs.uchicago.edu/people/michael-franklin,p0sQC6sAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/f/Franklin:Michael_J%3D
Michael J. Freedman,Princeton University,http://www.cs.princeton.edu/~mfreed,BFE6IQwAAAAJ,0000-0002-5305-2395,https://dblp.org/pers/hd/f/Freedman:Michael_J%3D
Michael Kearns,University of Pennsylvania,http://www.cis.upenn.edu/~mkearns,8iQk0DIAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/k/Kearns:Michael
Michael L. Littman,Brown University,http://cs.brown.edu/~mlittman,Jj00ksMAAAAJ,0000-0002-5596-1840,https://dblp.org/pers/hd/l/Littman:Michael_L%3D
Michael L. Scott,University of Rochester,https://www.cs.rochester.edu/~scott,PzaBy-UAAAAJ,0000-0001-8652-7644,https://dblp.org/pers/hd/s/Scott:Michael_L%3D
Michael Mitzenmacher,Harvard University,http://www.eecs.harvard.edu/~michaelm,e8aRmAsAAAAJ,0000-0001-5430-5457,https://dblp.org/pers/hd/m/Mitzenmacher:Michael
Michael O. Rabin,Harvard University,https://www.seas.harvard.edu/directory/rabin,EFZyUcEAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/r/Rabin:Michael_O%3D
Michael P. Wellman,University of Michigan,http://www.eecs.umich.edu/ai/people/wellman,UruIct4AAAAJ,0000-0002-1691-6844,https://dblp.org/pers/hd/w/Wellman:Michael_P%3D
Michael Reiter,Duke University,https://reitermk.github.io,qAKfQW0AAAAJ,0000-0003-0368-9758,https://dblp.org/pers/hd/r/Reiter:Michael
Michael Rung-Tsong Lyu,Chinese University of Hong Kong,http://www.cse.cuhk.edu.hk/lyu,uQnBgK0AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/l/Lyu:Michael_Rung%3DTsong
Michael T. Goodrich,Univ. of California - Irvine,https://www.ics.uci.edu/~goodrich,sSS9gSoAAAAJ,0000-0002-8943-191X,https://dblp.org/pers/hd/g/Goodrich:Michael_T%3D
Michael Wooldridge,University of Oxford,http://www.cs.ox.ac.uk/people/michael.wooldridge,JD8v9fkAAAAJ,0000-0002-9329-8410,https://dblp.org/pers/hd/w/Wooldridge:Michael
Michal Feldman,Tel Aviv University,https://www.cs.tau.ac.il/~mfeldman,IKjIhTwAAAAJ,0000-0002-2915-8405,https://dblp.org/pers/hd/f/Feldman:Michal
Mihai Pop,Univ. of Maryland - College Park,https://www.cs.umd.edu/people/mpop,4glkLD0AAAAJ,0000-0001-9617-5304,https://dblp.org/pers/hd/p/Pop:Mihai
Mihalis Yannakakis,Columbia University,http://www.cs.columbia.edu/~mihalis,_pPy-pAAAAAJ,0000-0003-2857-1860,https://dblp.org/pers/hd/y/Yannakakis:Mihalis
Mihir Bellare,Univ. of California - San Diego,https://cseweb.ucsd.edu/~mihir,2pW1g5IAAAAJ,0000-0002-8765-5573,https://dblp.org/pers/hd/b/Bellare:Mihir
Mikhail Belkin,Univ. of California - San Diego,https://datascience.ucsd.edu/staff-members/mikhail-belkin,Iwd9DdkAAAAJ,0009-0005-8633-3926,https://dblp.org/pers/hd/b/Belkin:Mikhail
Mikhail J. Atallah,Purdue University,https://www.cs.purdue.edu/people/mja,uc8_eH0AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/a/Atallah:Mikhail_J%3D
Mikkel Thorup,University of Copenhagen,http://www.diku.dk/~mthorup,UPBuOPIAAAAJ,0000-0001-5237-1709,https://dblp.org/pers/hd/t/Thorup:Mikkel
Milind Tambe,Harvard University,https://teamcore.seas.harvard.edu/tambe,YOVZiJkAAAAJ,0000-0003-3296-3672,https://dblp.org/pers/hd/t/Tambe:Milind
Ming C. Lin,Univ. of Maryland - College Park,http://www.cs.umd.edu/~lin,ugFNit4AAAAJ,0000-0003-3736-6949,https://dblp.org/pers/hd/l/Lin:Ming_C%3D
Ming Li 0001,University of Waterloo,https://cs.uwaterloo.ca/~mli,oGgPXFEAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/l/Li_0001:Ming
Ming-Hsuan Yang 0001,Univ. of California - Merced,https://faculty.ucmerced.edu/mhyang,p9-ohHsAAAAJ,0000-0003-4848-2304,https://dblp.org/pers/hd/y/Yang_0001:Ming%3DHsuan
Mira Mezini,TU Darmstadt,http://www.stg.tu-darmstadt.de/staff/mira_mezini,ESQUnJEAAAAJ,0000-0001-6563-7537,https://dblp.org/pers/hd/m/Mezini:Mira
Mohamed F. Mokbel,University of Minnesota,http://www-users.cs.umn.edu/~mokbel,GHz1ZVIAAAAJ,0000-0002-6686-1757,https://dblp.org/pers/hd/m/Mokbel:Mohamed_F%3D
Mohammad Taghi Hajiaghayi,Univ. of Maryland - College Park,http://www.cs.umd.edu/~hajiagha,SQ1eGN4AAAAJ,0000-0003-4842-0533,https://dblp.org/pers/hd/h/Hajiaghayi:Mohammad_Taghi
Mohammed J. Zaki,Rensselaer Polytechnic Institute,http://www.cs.rpi.edu/~zaki,UmwJklEAAAAJ,0000-0003-4711-0234,https://dblp.org/pers/hd/z/Zaki:Mohammed_J%3D
Mohan Kankanhalli,National University of Singapore,http://www.comp.nus.edu.sg/~mohan,6Lx_eowAAAAJ,0000-0002-4846-2015,https://dblp.org/pers/hd/k/Kankanhalli:Mohan
Moinuddin K. Qureshi,Georgia Institute of Technology,http://moin.ece.gatech.edu,EWU0STsAAAAJ,0000-0002-1314-9096,https://dblp.org/pers/hd/q/Qureshi:Moinuddin_K%3D
Mona Singh 0001,Princeton University,https://www.cs.princeton.edu/~mona,JpAehzgAAAAJ,0000-0001-8271-6026,https://dblp.org/pers/hd/s/Singh_0001:Mona
Moni Naor,Weizmann Institute of Science,https://www.weizmann.ac.il/pages/search/people?language=english&single=1&person_id=2337,stSUaHAAAAAJ,0000-0003-3381-0221,https://dblp.org/pers/hd/n/Naor:Moni
Monica Lam 0001,Stanford University,https://suif.stanford.edu/~lam,4hS0jZ8AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/l/Lam_0001:Monica
Monika Henzinger,IST Austria,https://ist.ac.at/de/forschung/henzinger_monika-gruppe,NXbggxYAAAAJ,0000-0002-5008-6530,https://dblp.org/pers/hd/h/Henzinger:Monika
Mor Harchol-Balter,Carnegie Mellon University,http://www.cs.cmu.edu/~harchol,Ooc7UNUAAAAJ,0000-0003-1721-6759,https://dblp.org/pers/hd/h/Harchol=Balter:Mor
Moses Charikar,Stanford University,https://profiles.stanford.edu/moses-charikar,zX3ba1kAAAAJ,0000-0003-0807-3389,https://dblp.org/pers/hd/c/Charikar:Moses
Moshe Tennenholtz,Technion,https://web.iem.technion.ac.il/en/people/userprofile/Moshet.html,NOSCHOLARPAGE,0000-0002-9459-5388,https://dblp.org/pers/hd/t/Tennenholtz:Moshe
Moshe Y. Vardi,Rice University,http://www.cs.rice.edu/~vardi,DQaARsgAAAAJ,0000-0002-0661-5773,https://dblp.org/pers/hd/v/Vardi:Moshe_Y%3D
