name,affiliation,homepage,scholarid,orcid,dblp_profile
Haesun Park,Georgia Institute of Technology,http://www.cc.gatech.edu/~hpark,G6kA1CMAAAAJ,0000-0001-6259-7170,https://dblp.org/pers/hd/p/Park:Haesun
Hagit Attiya,Technion,http://hagit.net.technion.ac.il,eoMK92MAAAAJ,0000-0002-8017-6457,https://dblp.org/pers/hd/a/Attiya:Hagit
Hai Jin 0001,HUST,http://faculty.hust.edu.cn/jinhai/en/index.htm,o02W0aEAAAAJ,0000-0002-3934-7605,https://dblp.org/pers/hd/j/Jin_0001:Hai
Hai Li 0001,Duke University,https://ece.duke.edu/people/hai-helen-li,E6Tpfq8AAAAJ,0000-0003-3228-6544,https://dblp.org/pers/hd/l/Li_0001:Hai
Haibo Chen 0001,Shanghai Jiao Tong University,http://ipads.se.sjtu.edu.cn/~hbchen,qd9xSkYAAAAJ,0000-0002-9720-0361,https://dblp.org/pers/hd/c/Chen_0001:Haibo
Haitao Zheng 0001,University of Chicago,https://people.cs.uchicago.edu/~htzheng,XrIr0nYAAAAJ,0000-0002-5918-2940,https://dblp.org/pers/hd/z/Zheng_0001:Haitao
Hal Berghel,University of Nevada Las Vegas,http://www.berghel.net/home.php,NOSCHOLARPAGE,0000-0000-0000-0000,https://dblp.org/pers/hd/b/Berghel:Hal
Hanan Samet,Univ. of Maryland - College Park,https://www.cs.umd.edu/people/hjs,ATOfqHEAAAAJ,0000-0001-8230-0653,https://dblp.org/pers/hd/s/Samet:Hanan
Hanghang Tong,Univ. of Illinois at Urbana-Champaign,http://tonghanghang.org,RaINcuUAAAAJ,0000-0003-4405-3887,https://dblp.org/pers/hd/t/Tong:Hanghang
Hans-Peter Kriegel,LMU Munich,http://www.dbs.ifi.lmu.de/cms/personen/professoren/kriegel/index.html,DBf9LC4AAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/k/Kriegel:Hans%3DPeter
Hanspeter Pfister,Harvard University,https://www.seas.harvard.edu/directory/pfister,tvBEoaMAAAAJ,0000-0002-3620-2582,https://dblp.org/pers/hd/p/Pfister:Hanspeter
Hari Balakrishnan,Massachusetts Inst. of Technology,http://nms.lcs.mit.edu/~hari,Qf4bw4UAAAAJ,0000-0002-1455-9652,https://dblp.org/pers/hd/b/Balakrishnan:Hari
Heng Tao Shen,Tongji University,https://cs.tongji.edu.cn/info/1061/3337.htm,krryaDkAAAAJ,0000-0002-2999-2088,https://dblp.org/pers/hd/s/Shen:Heng_Tao
Henning Schulzrinne,Columbia University,http://www.cs.columbia.edu/~hgs,6IHX8J4AAAAJ,0000-0001-7604-1122,https://dblp.org/pers/hd/s/Schulzrinne:Henning
Henry A. Kautz,University of Virginia,https://henrykautz.com,WxQyOYQAAAAJ,0000-0001-5219-2970,https://dblp.org/pers/hd/k/Kautz:Henry_A%3D
Henry F. Korth,Lehigh University,http://www.cse.lehigh.edu/~korth,4VLZdawAAAAJ,0000-0000-0000-0000,https://dblp.org/pers/hd/k/Korth:Henry_F%3D
Henry Fuchs,University of North Carolina,http://henryfuchs.web.unc.edu,guhwcP8AAAAJ,0000-0002-8834-4638,https://dblp.org/pers/hd/f/Fuchs:Henry
